@relation meta-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-weka.filters.unsupervised.attribute.Normalize-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute DS_Name=Aust_Credit numeric
@attribute DS_Name=BT numeric
@attribute DS_Name=Belgian numeric
@attribute DS_Name=CUT numeric
@attribute DS_Name=Chromosone numeric
@attribute DS_Name=Credit numeric
@attribute DS_Name=DNA numeric
@attribute DS_Name=Diabetes numeric
@attribute DS_Name=Digits numeric
@attribute DS_Name=Faults numeric
@attribute DS_Name=German_Credit numeric
@attribute DS_Name=Head numeric
@attribute DS_Name=Heart numeric
@attribute DS_Name=KlDigits numeric
@attribute DS_Name=Letters numeric
@attribute DS_Name=NewBelgian numeric
@attribute DS_Name=SatImage numeric
@attribute DS_Name=Segment numeric
@attribute DS_Name=Shuttle numeric
@attribute DS_Name=Technical numeric
@attribute DS_Name=TseTse numeric
@attribute DS_Name=Vehicle numeric
@attribute T numeric
@attribute N numeric
@attribute p numeric
@attribute k numeric
@attribute Bin numeric
@attribute Cost numeric
@attribute SDratio numeric
@attribute correl numeric
@attribute cancor1 numeric
@attribute cancor2 numeric
@attribute fract1 numeric
@attribute fract2 numeric
@attribute skewness numeric
@attribute kurtosis numeric
@attribute Hc numeric
@attribute Hx numeric
@attribute MCx numeric
@attribute EnAtr numeric
@attribute NSRatio numeric
@attribute Alg_Name=Ac2 numeric
@attribute Alg_Name=Alloc80 numeric
@attribute Alg_Name=BackProp numeric
@attribute Alg_Name=Bayes numeric
@attribute Alg_Name=BayesTree numeric
@attribute Alg_Name=C4_5 numeric
@attribute Alg_Name=CART numeric
@attribute Alg_Name=Cal5 numeric
@attribute Alg_Name=Cascade numeric
@attribute Alg_Name=Castle numeric
@attribute Alg_Name=Cn2 numeric
@attribute Alg_Name=Default numeric
@attribute Alg_Name=Dipol92 numeric
@attribute Alg_Name=Discrim numeric
@attribute Alg_Name=ITrule numeric
@attribute Alg_Name=IndCART numeric
@attribute Alg_Name=KNN numeric
@attribute Alg_Name=Kohonen numeric
@attribute Alg_Name=LVQ numeric
@attribute Alg_Name=LogDisc numeric
@attribute Alg_Name=NewId numeric
@attribute Alg_Name=QuaDisc numeric
@attribute Alg_Name=RBF numeric
@attribute Alg_Name=Smart numeric
@attribute class numeric

@data
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000323
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000129
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000259
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000091
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005619
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021287,0.007275,0.045977,0,0.093023,0,0.079016,0.080522,0.551446,0.741721,1,0.582986,0.273878,0.072602,0.152939,0.313046,0.072751,0.045332,0.115631,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011
